rank,id,street,district,heat_pixel,nearest_counter,distance_m,heat_score,proximity_score,signal
1,vbx_56561,Place Rouppe 11,STALINGRAD,88.0,CB2105,509.8,100.0,66.779,86.712
2,vbx_56558,Place Rouppe 10,STALINGRAD,87.0,CB2105,514.4,97.297,66.475,84.968
3,vbx_56544,Avenue de Stalingrad 106,STALINGRAD,81.0,CB2105,176.2,81.081,88.869,84.196
4,vbx_56550,Rue du Midi 177,STALINGRAD,86.0,CB2105,489.9,94.595,68.097,83.996
5,vbx_56554,Rue du Midi 177,STALINGRAD,86.0,CB2105,507.3,94.595,66.945,83.535
6,vbx_56557,Place Rouppe 1,STALINGRAD,84.0,CB2105,477.2,89.189,68.938,81.089
7,vbx_56567,Place Rouppe 4,STALINGRAD,84.0,CB2105,500.1,89.189,67.422,80.482
8,vbx_56573,Place Rouppe 18,STALINGRAD,81.0,CB2105,471.5,81.081,69.315,76.375
9,vbx_56571,Place Rouppe 17,STALINGRAD,79.0,CB2105,484.7,75.676,68.441,72.782
10,vbx_56818,Rue Franklin 68,SQUARES,78.0,CB1142,640.2,72.973,58.145,67.042
11,vbx_56840,Rue Franklin 138,SQUARES,81.0,CB1142,860.7,81.081,43.544,66.066
12,vbx_56845,Square Marguerite 29,SQUARES,78.0,CB1142,682.1,72.973,55.37,65.932
13,vbx_56803,Rue Franklin 21,SQUARES,73.0,CB1142,446.5,59.459,70.971,64.064
14,vbx_56848,Rue Véronèse 22,SQUARES,76.0,CB1142,683.1,67.568,55.304,62.662
15,vbx_56765,Square Ambiorix 28,SQUARES,73.0,CB1142,500.5,59.459,67.395,62.633
16,vbx_56789,Rue Archimède 77,SQUARES,71.0,CB1142,409.6,54.054,73.414,61.798
17,vbx_56839,Rue Franklin 134,SQUARES,78.0,CB1142,843.5,72.973,44.683,61.657
18,vbx_56769,Rue Archimède 62,SQUARES,71.0,CB1142,425.6,54.054,72.355,61.374
19,vbx_56811,Rue Franklin 37,SQUARES,72.0,CB1142,492.6,56.757,67.918,61.221
20,vbx_56681,Rue Luther 22,SQUARES,78.0,CB1142,868.2,72.973,43.047,61.003
21,vbx_56751,Avenue Michel-Ange 80,SQUARES,73.0,CB1143,565.0,59.459,63.124,60.925
22,vbx_56714,Avenue Michel-Ange 30,SQUARES,72.0,CB1142,514.9,56.757,66.442,60.631
23,vbx_56706,Avenue Michel-Ange 45,SQUARES,72.0,CB1142,515.1,56.757,66.428,60.625
24,vbx_56685,Rue de l'Abdication 1,SQUARES,78.0,CB1142,886.1,72.973,41.862,60.529
25,vbx_56676,Rue Luther 8,SQUARES,77.0,CB1142,825.8,70.27,45.855,60.504
26,vbx_56807,Rue Franklin 31,SQUARES,71.0,CB1142,476.5,54.054,68.984,60.026
27,vbx_56755,Avenue Michel-Ange 70,SQUARES,72.0,CB1143,553.7,56.757,63.872,59.603
28,vbx_56846,Rue Véronèse 19A,SQUARES,74.0,CB1142,678.9,62.162,55.582,59.53
29,vbx_56753,Avenue Michel-Ange 74,SQUARES,72.0,CB1143,559.3,56.757,63.502,59.455
30,vbx_56672,Rue Luther 23,SQUARES,77.0,CB1142,871.8,70.27,42.809,59.286
31,vbx_56761,Avenue Michel-Ange 53,SQUARES,71.0,CB1142,527.2,54.054,65.627,58.683
32,vbx_56692,Avenue Michel-Ange 13,SQUARES,70.0,CB1142,499.9,51.351,67.435,57.785
33,vbx_56873,Chaussée d'Etterbeek 50,QUARTIER EUROPEEN,62.0,CB1143,26.1,29.73,98.808,57.361
