rank,id,street,district,heat_pixel,nearest_counter,distance_m,heat_score,proximity_score,signal
1,vbx_56544,Avenue de Stalingrad 106,STALINGRAD,89.0,CB2105,176.2,86.667,88.869,87.548
2,vbx_56635,Boulevard de Dixmude 8,BEGUINAGE - DIXMUDE,95.0,CJM90,491.2,100.0,68.011,87.204
3,vbx_56870,Rue de la Loi 170,QUARTIER EUROPEEN,83.0,CB1142,33.8,73.333,98.298,83.319
4,vbx_56587,Boulevard de Dixmude 9,BEGUINAGE - DIXMUDE,90.0,CJM90,411.3,88.889,73.302,82.654
5,vbx_58580,Rue de la Loi 16,QUARTIER ROYAL,84.0,CB1101,174.3,75.556,88.995,80.932
6,vbx_56637,Boulevard de Dixmude 6,BEGUINAGE - DIXMUDE,90.0,CJM90,485.3,88.889,68.402,80.694
7,vbx_56573,Place Rouppe 18,STALINGRAD,89.0,CB2105,471.5,86.667,69.315,79.726
8,vbx_58582,Rue de la Loi 3,QUARTIER ROYAL,83.0,CB1101,197.2,73.333,87.478,78.991
9,vbx_56554,Rue du Midi 177,STALINGRAD,89.0,CB2105,507.3,86.667,66.945,78.778
10,vbx_56604,Boulevard de Dixmude 65,BEGUINAGE - DIXMUDE,91.0,CJM90,608.6,91.111,60.237,78.761
11,vbx_56571,Place Rouppe 17,STALINGRAD,88.0,CB2105,484.7,84.444,68.441,78.043
12,vbx_56557,Place Rouppe 1,STALINGRAD,87.0,CB2105,477.2,82.222,68.938,76.908
13,vbx_56653,Boulevard de Dixmude 21,BEGUINAGE - DIXMUDE,86.0,CJM90,439.8,80.0,71.414,76.566
14,vbx_56567,Place Rouppe 4,STALINGRAD,87.0,CB2105,500.1,82.222,67.422,76.302
15,vbx_56643,Boulevard de Dixmude 27,BEGUINAGE - DIXMUDE,86.0,CJM90,464.0,80.0,69.812,75.925
16,vbx_58570,Rue de la Loi 5,QUARTIER ROYAL,80.0,CB1101,183.6,66.667,88.379,75.352
17,vbx_58567,Rue de la Loi 5,QUARTIER ROYAL,80.0,CB1101,192.1,66.667,87.816,75.127
18,vbx_56852,Rue Joseph II 124,QUARTIER EUROPEEN,77.0,CB1142,67.3,60.0,96.08,74.432
19,vbx_58576,Rue Ducale 47,QUARTIER ROYAL,79.0,CB1101,168.5,64.444,89.379,74.418
20,vbx_56876,Chaussée d'Etterbeek 50,QUARTIER EUROPEEN,75.0,CB1142,8.1,55.556,100.0,73.334
21,vbx_56558,Place Rouppe 10,STALINGRAD,85.0,CB2105,514.4,77.778,66.475,73.257
22,vbx_58578,Rue de la Loi 5,QUARTIER ROYAL,78.0,CB1101,172.3,62.222,89.127,72.984
23,vbx_56550,Rue du Midi 177,STALINGRAD,84.0,CB2105,489.9,75.556,68.097,72.572
24,vbx_56561,Place Rouppe 11,STALINGRAD,84.0,CB2105,509.8,75.556,66.779,72.045
25,vbx_56873,Chaussée d'Etterbeek 50,QUARTIER EUROPEEN,74.0,CB1143,26.1,53.333,98.808,71.523
26,vbx_58421,,QUARTIER ROYAL,78.0,CB1101,238.1,62.222,84.77,71.241
27,vbx_56593,Quai du Commerce 50,BEGUINAGE - DIXMUDE,86.0,CJM90,652.3,80.0,57.343,70.937
28,vbx_56622,Boulevard de Dixmude 20,BEGUINAGE - DIXMUDE,83.0,CJM90,528.7,73.333,65.528,70.211
29,vbx_56596,Boulevard de Dixmude 71,BEGUINAGE - DIXMUDE,85.0,CJM90,633.3,77.778,58.602,70.108
30,vbx_56625,Boulevard de Dixmude 18,BEGUINAGE - DIXMUDE,82.0,CJM90,522.1,71.111,65.965,69.053
31,vbx_58496,,QUARTIER ROYAL,77.0,CB1101,279.0,60.0,82.062,68.825
32,vbx_56592,Quai du Commerce 50,BEGUINAGE - DIXMUDE,84.0,CJM90,658.2,75.556,56.953,68.115
33,vbx_56605,Boulevard de Dixmude 30,BEGUINAGE - DIXMUDE,82.0,CJM90,591.4,71.111,61.376,67.217
34,vbx_56696,Avenue Michel-Ange 17,SQUARES,80.0,CB1142,500.7,66.667,67.382,66.953
35,vbx_56789,Rue Archimède 77,SQUARES,78.0,CB1142,409.6,62.222,73.414,66.699
36,vbx_56733,Avenue Michel-Ange 59,SQUARES,80.0,CB1142,532.7,66.667,65.263,66.105
37,vbx_58494,Rue Ducale 21,QUARTIER ROYAL,74.0,CB1101,244.2,53.333,84.366,65.746
38,vbx_58493,,QUARTIER ROYAL,73.0,CB1101,244.5,51.111,84.346,64.405
39,vbx_56856,Rue Joseph II 114,QUARTIER EUROPEEN,70.0,CB1142,102.7,44.444,93.736,64.161
40,vbx_58429,,QUARTIER ROYAL,72.0,CB1101,266.6,48.889,82.883,62.487
41,vbx_58435,,QUARTIER ROYAL,72.0,CB1101,280.6,48.889,81.956,62.116
42,vbx_56610,Boulevard de Dixmude 45,BEGUINAGE - DIXMUDE,77.0,CJM90,564.6,60.0,63.151,61.26
43,vbx_56620,Boulevard de Dixmude 45,BEGUINAGE - DIXMUDE,77.0,CJM90,570.6,60.0,62.753,61.101
44,vbx_58444,Rue de la Loi 1,QUARTIER ROYAL,70.0,CB1101,254.9,44.444,83.658,60.13
45,vbx_56761,Avenue Michel-Ange 53,SQUARES,75.0,CB1142,527.2,55.556,65.627,59.584
